Issue Type,Epic Name,Epic Link,Summary,Description,Acceptance Criteria,Priority,Components,Labels,Story Points
Epic,Project Foundation And CLI,,Project Foundation And CLI,"Set up the C++ application foundation, CLI modes, source layout, and core domain models.","Foundation supports Windows-first CMake builds, required source layout, CLI modes, and shared domain objects.",High,"app;docs;core","upstox-bot;cpp;phase-1",13
Story,,Project Foundation And CLI,Scaffold C++ project with CMake,"Create the initial C++20 or C++23 application structure with CMake and the proposed source layout.","Builds on Windows; folders exist for app/core/infra/indicators/strategies/risk/order/concurrency/tests; CLI supports validate, dry-run, show-orders, and future live mode; build instructions documented.",High,"app;docs","upstox-bot;cpp;phase-1",5
Story,,Project Foundation And CLI,Define core domain models,"Implement shared domain objects for instruments, market snapshots, strategy signals, decisions, risk events, orders, holdings, portfolio state, and bot runs.","Models use instrument_key as canonical identifier; strategy signals include required fields; order requests include required order metadata; basic serialization or formatting tests exist.",High,core,"upstox-bot;cpp;phase-1",5
Story,,Project Foundation And CLI,Implement operating mode validation,"Enforce mode-specific behavior for validate, dry-run, paper, live, and show-orders.","Dry-run is default; live requires mode=live and live_trading_enabled=true; validate makes no market calls; invalid combinations fail closed with clear errors.",Highest,"app;security","upstox-bot;cpp;phase-1;safety",3
Epic,Configuration CSV Logging And Security,,Configuration CSV Logging And Security,"Implement safe configuration, CSV input validation, structured logging, and credential handling.","Bot can safely load config and instruments, redact secrets, and fail closed on invalid setup.",Highest,"config;csv;logging;security","upstox-bot;cpp;phase-1;safety",31
Story,,Configuration CSV Logging And Security,Choose and implement configuration format,"Resolve YAML versus JSON and implement config loading and validation.","Required sections are validated; required keys are validated; config validation reports actionable errors; config files do not require plaintext API secrets.",Highest,"config;security","upstox-bot;cpp;phase-1;open-decision",8
Story,,Configuration CSV Logging And Security,Implement secure credential loading,"Load Upstox access tokens from environment variables, secure prompt, or approved secret storage.","Tokens are never logged or stored; missing credentials fail closed where API access is required; access_token_env is supported; redaction tests exist.",Highest,"security;config","upstox-bot;cpp;phase-1;safety",5
Story,,Configuration CSV Logging And Security,Implement CSV instrument loader,"Read target company watchlist CSV and produce validated instrument definitions.","Mandatory instrument_key column is required; minimum columns are supported; optional recommended columns are parsed; symbol is display metadata only.",Highest,csv,"upstox-bot;cpp;phase-1",5
Story,,Configuration CSV Logging And Security,Implement CSV validation rules,"Validate CSV rows according to SRS rules before startup.","Duplicates rejected; enabled parses as boolean; quantities are positive integers; decimal fields are valid; unknown strategy profiles rejected; invalid rows fail unless skip_invalid_rows is enabled.",Highest,"csv;testing","upstox-bot;cpp;phase-1;safety",5
Story,,Configuration CSV Logging And Security,Implement structured logging with rotation and redaction,"Add rotating logs with configurable levels and secret redaction.","Startup summary excludes secrets; CSV validation summary logged; strategy/risk/order decisions logged; credentials redacted; daily rotation and log levels supported.",High,"logging;security","upstox-bot;cpp;phase-1",5
